State,1990,1995,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Minnesota,7.7,7.0,6.8,6.8,6.6,6.5,6.3,6.0,6.0,6.0,5.8,5.4,5.3,5.3,5.6,5.6,6.0,5.9,5.6,5.6,5.6,5.3,5.1,4.4
Mississippi,9.4,7.9,7.8,6.9,6.5,6.4,6.2,6.1,5.8,5.7,5.4,5.1,4.8,4.9,4.9,5.8,6.7,6.9,7.0,7.0,6.7,6.3,6.0,5.7
Missouri,9.6,8.3,8.1,7.8,7.5,7.3,7.2,7.1,7.0,6.9,6.9,6.8,6.5,6.5,6.6,6.5,6.4,6.7,6.8,6.9,6.6,6.5,6.0,5.6
Montana,8.6,7.6,7.4,7.3,7.1,7.1,7.2,7.5,7.4,7.4,7.5,7.6,7.3,7.4,7.8,7.8,7.4,7.9,8.0,7.8,8.0,7.7,7.9,10.4
Nebraska,8.0,7.3,7.5,7.6,7.9,7.5,7.0,7.1,7.0,6.8,6.8,6.9,6.6,6.6,6.6,6.7,6.3,6.4,6.4,6.5,6.3,6.0,5.5,5.0
Nevada,99.0,85.2,82.3,72.2,69.6,67.4,63.9,62.1,57.4,52.1,48.6,42.3,40.3,38.3,36.9,35.1,32.3,31.9,31.0,28.4,28.6,26.7,25.9,21.0
New Hampshire,9.5,8.3,7.9,9.4,8.5,8.3,8.1,8.0,7.3,7.2,7.1,6.8,6.5,7.3,7.1,6.8,6.9,7.2,6.9,7.0,7.0,6.9,6.6,6.1
New Jersey,7.6,6.5,5.9,6.0,6.4,6.0,5.8,5.9,5.7,5.5,5.4,5.4,5.0,5.1,4.8,4.9,5.1,5.4,5.6,5.7,5.5,5.4,5.2,4.1
New Mexico,8.8,8.8,8.0,8.0,7.6,7.9,6.9,7.4,6.6,6.8,5.6,4.0,5.0,7.7,8.0,6.9,7.3,8.1,6.2,6.4,5.9,6.4,6.0,3.4
New York,8.6,8.0,7.3,7.1,7.6,7.3,6.8,6.8,6.8,6.9,6.8,6.6,6.5,6.5,6.9,7.0,6.9,6.7,7.1,7.5,7.3,7.1,7.2,4.5
North Carolina,7.8,8.4,8.5,8.2,7.4,7.7,7.4,7.3,7.3,7.3,7.0,6.9,6.6,6.6,6.7,6.6,6.5,6.9,7.0,7.0,6.8,6.4,6.2,5.5
North Dakota,7.5,7.1,6.6,7.2,6.5,6.8,7.1,6.9,6.8,6.7,6.6,6.5,6.4,6.5,6.7,6.6,6.3,6.3,6.2,6.0,5.8,5.7,5.4,5.3
Ohio,9.0,8.0,7.8,7.8,7.2,7.0,6.7,6.6,6.5,6.3,6.1,6.0,5.8,5.8,5.9,5.8,5.7,5.8,5.9,6.0,5.8,5.6,5.3,4.8
Oklahoma,10.6,8.6,6.8,NaN,NaN,NaN,NaN,6.5,7.3,7.3,7.3,7.1,6.9,7.2,6.9,6.9,7.1,7.1,7.4,6.7,6.8,6.4,6.3,5.9
Oregon,8.9,8.1,7.6,7.6,7.5,7.1,7.2,8.1,7.3,7.3,7.2,6.9,6.6,6.5,6.6,6.6,6.3,6.8,6.9,6.9,6.7,6.3,6.0,5.2
Pennsylvania,7.1,6.2,6.1,6.0,5.8,5.7,5.9,5.9,5.8,5.7,5.7,5.5,5.3,5.3,5.3,5.5,5.4,5.8,5.7,5.8,5.7,5.5,5.4,4.6
